review panel,medicalspeciality,productcode,devicename,deviceclass,unclassifiedreason,gmpexemptflag,thirdpartyflag,regulationnumber ,submissiontypeID,definition,physicalstate ,technicalmethod ,targetarea,implant flag,life sustain support flag,summarymalfunctionreporting
HO,HO,BRT,"Restraint, Patient, Conductive",1,,N,Y,880.6760254,4,,,,,N,N,Eligible
AN,AN,BRW,"Protector, Dental",1,,N,N,868.5819702,4,,,,,N,N,Eligible
AN,AN,BRX,"Stool, Anesthesia",1,,N,N,868.6699829,4,,,,,N,N,Eligible
AN,AN,BRY,"Cabinet, Table And Tray, Anesthesia",1,,N,N,868.6099854,4,,,,,N,N,Eligible
HO,HO,BRZ,"Set, Blood Transfusion",2,,N,Y,880.5440063,1,,,,,N,N,Eligible
HE,HE,BSA,"Warmer, Blood, Electromagnetic Radiation",3,,N,N,864.9204712,2,,,,,N,N,Eligible
HE,HE,BSB,"Warmer, Blood, Non-Electromagnetic Radiation",2,,N,N,864.9204712,1,,,,,N,N,Eligible
AN,,BSD,"Analyzer, Gas, Nitrogen, Partial Pressure, Blood-Phase, Non-Indwelling",3,,N,N,,2,,,,,N,N,Eligible
AN,AN,BSE,"Analyzer, Gas, Helium, Gaseous-Phase",2,,N,P,868.1640015,1,,,,,N,N,Eligible
AN,AN,BSF,"Absorber, Carbon-Dioxide",1,,N,N,868.5310059,4,,,,,N,N,Eligible
AN,AN,BSI,"Algesimeter, Powered",2,,N,P,868.1040039,4,,,,,N,N,Eligible
AN,AN,BSJ,"Mask, Gas, Anesthetic",1,,N,N,868.5549927,4,,,,,N,N,Eligible
AN,AN,BSK,"Cuff, Tracheal Tube, Inflatable",2,,N,P,868.5750122,1,,,,,N,Y,Eligible
AN,AN,BSN,"Filter, Conduction, Anesthetic",2,,N,P,868.5130005,1,,,,,N,N,Eligible
AN,AN,BSO,"Catheter, Conduction, Anesthetic",2,,N,P,868.5120239,1,,,,,N,N,Eligible
AN,AN,BSP,"Needle, Conduction, Anesthetic (W/Wo Introducer)",2,,N,P,868.5150146,1,,,,,N,N,Eligible
AN,AN,BSR,"Stylet, Tracheal Tube",1,,N,N,868.5789795,4,,,,,N,N,Eligible
GU,GU,BSS,"Tube, Nasogastric",2,,N,P,876.5980225,1,,,,,N,N,Eligible
EN,EN,BST,"Curette, Biopsy, Bronchoscope (Non-Rigid)",2,,N,P,874.4680176,1,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",,,,N,N,Ineligible
AN,AN,BSY,"Catheters, Suction, Tracheobronchial",1,,N,N,868.6810303,4,,,,,N,N,Eligible
AN,AN,BSZ,"Gas-Machine, Anesthesia",2,,N,N,868.5159912,1,,,,,N,Y,Eligible
AN,AN,BTB,"Hook, Ether",1,,Y,N,868.5419922,4,,,,,N,N,Eligible
AN,AN,BTC,"Bag, Reservoir",1,,N,N,868.5319824,4,,,,,N,N,Eligible
EN,EN,BTG,"Brush, Biopsy, Bronchoscope (Non-Rigid)",2,,N,P,874.4680176,1,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",,,,N,N,Ineligible
AN,AN,BTI,"Compressor, Air, Portable",2,,N,P,868.625,4,,,,,N,N,Eligible
AN,AN,BTK,"Strap, Head, Gas Mask",1,,N,N,868.5560303,4,,,,,N,N,Eligible
AN,AN,BTL,"Ventilator, Emergency, Powered (Resuscitator)",2,,N,P,868.5925293,1,,,,,N,Y,Eligible
AN,AN,BTM,"Ventilator, Emergency, Manual (Resuscitator)",2,,N,P,868.5914917,1,,,,,N,Y,Eligible
AN,AN,BTO,"Tube, Tracheostomy (W/Wo Connector)",2,,N,P,868.5800171,1,,,,,N,Y,Eligible
AN,AN,BTP,"Dropper, Ether",1,,Y,N,868.5419922,4,,,,,N,N,Eligible
AN,AN,BTQ,"Airway, Nasopharyngeal",1,,N,N,868.5100098,4,,,,,N,N,Eligible
AN,AN,BTR,"Tube, Tracheal (W/Wo Connector)",2,,N,N,868.572998,1,,,,,N,Y,Eligible
AN,AN,BTS,"Tube, Bronchial (W/Wo Connector)",2,,N,N,868.5720215,1,,,,,N,Y,Eligible
AN,AN,BTT,"Humidifier, Respiratory Gas, (Direct Patient Interface)",2,,N,P,868.5449829,1,,,,,N,N,Eligible
AN,AN,BTY,"Calculator, Predicted Values, Pulmonary Function",2,,N,P,868.1890259,1,,,,,N,N,Eligible
AN,AN,BWB,"Forceps, Tube Introduction",1,,N,N,868.5780029,4,,,,,N,N,Eligible
AN,AN,BWC,"Needle, Emergency Airway",2,,N,P,868.5089722,1,,,,,N,Y,Eligible
AN,AN,BWF,"Spirometer, Therapeutic (Incentive)",2,,N,P,868.5689697,1,,,,,N,N,Eligible
EN,EN,BWH,"Forceps, Biopsy, Bronchoscope (Non-Rigid)",2,,N,P,874.4680176,1,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",,,,N,N,Ineligible
HO,HO,BWJ,"Locator, Acupuncture Point",2,,N,N,880.5579834,4,,,,,N,N,Eligible
NE,,BWK,"Stimulator, Electro-Acupuncture",85,1,N,N,,1,,,,,N,N,Eligible
